id,sentence1,label
0,@user Bono... who cares. Soon people will understand that they gain nothing from following a phony celebrity. Become a Leader of your people instead or help and support your fellow countrymen.,not-offensive
1,@user Eight years the republicans denied obama’s picks. Breitbarters outrage is as phony as their fake president.,offensive
2,@user Get him some line help. He is gonna be just fine. As the game went on you could see him progressing more with his reads. He brought what has been missing. The deep ball presence. Now he just needs a little more time,not-offensive
3,@user @user She is great. Hi Fiona!,not-offensive
4,@user She has become a parody unto herself? She has certainly taken some heat for being such an....well idiot. Could be optic too  Who know with Liberals  They're all optics.  No substance,offensive
5,"@user @user @user @user @user @user @user @user @user @user @user @user @user @user @user This is the VetsResistSquadron"""" is Bullshit.. They are girl scout veterans, I have never met any other veterans or served with anyone that was a gun control advocate? Have you?""""",not-offensive
6,@user Your looking more like a plant #maga #walkaway,offensive
7,@user @user Lol. Except he’s the most successful president in our lifetimes. He’s undone most of the damage Obummer did and set America on the right path again. #MAGA,not-offensive
8,@user Been a Willie fan since before most of you were born....LOVE that he is holding a rally with Beto.... Exactly WHICH fans are furious?  Could you give some specifics?,not-offensive
9,@user Here's a link to my channel with a plethora of topics to peruse:,not-offensive
10,@user Antifa would burn a Conservatives house down and CNN would be there lighting the torches &amp; throwing gas on the flames.,offensive
11,"@user They cite Jones being banned for violating Twitter's ToS. There are blue checkmarks spewing the same, if not worse, kind of shit. If you are going to play the anyone can get banned"""" card. Shouldn't these people also receive bans and suspensions? #VerifiedHate""""",offensive
12,@user Friend ordered 100 pair of Levi’s and then called to cancel! Over Gun control! Wow getting wild!,not-offensive
13,@user @user Lmfaoooooo,not-offensive
14,@user Goodell should have been fired over a year ago. Looks like the owners will let him steer the ship right into the iceberg. Oh well.,not-offensive
15,@user @user This is a common message from liberals and Democrats.   Remember Nancy Pelosi we have to approve the health care package -Obama care and then we’ll see what’s in it afterwards🤔,not-offensive
16,@user also shitbiscuit stole most of the Tempe girls u can't blame that on me..,offensive
17,"@user @user Well, see, if I start talking at Dana about sensible gun control laws and she ignores me (or calls me a tragedy dry-humping whore"""" as she did @user then we aren't having a conversation. I'm just talking into the void.""""",offensive
18,@user @user You mean the way Hillary re-victimized all of Bills accusers?,not-offensive
19,GREAT COMEDY THERE CNN - NEWS?  NOT SO MUCH!  #MAGA!  #LICENSEREPORTERS!,not-offensive
20,@user You are so fragile. It must be hard to live that way.,not-offensive
21,@user All you do is lie. All congress does us lie.  MAGA.,offensive
22,@user Freudian slip.,not-offensive
23,@user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user He also clarified that there is the water birth when we are physically born. Then there is the spiritual birth which is obviously when we spiritually die to our sinful flesh and be reborn sinless after being cleansed by His blood at salvation when our sin debt is paid! Praise God,offensive
24,@user @user Why are you wasting time replying on twitter (trolling) on behalf of people making under that amount?  Seems like someone is just a propaganda pusher...or likes gloating to other #MAGA's that they got screwed by Trump.,offensive
25,@user We had Leveon Bell. Thats the dumbest argument. But we can compare college for when he played. His best season was 1700 yds 26 TDs. How about Collins? And this is Conners first year starting and he is starting much better than Collins,offensive
26,@user @user SHE IS A FUCKING MESS!! I HATE HER SO MUCH,offensive
27,@user He is so underrated and I love how pure he is as a person,not-offensive
28,@user Haha we set then 😂,not-offensive
29,@user he is a psychic ain’t he,not-offensive
30,@user I was think she jisoo but I’m Focused I found she is taeyoun,offensive
31,@user I am stunned that you are giving this guy airtime. Stunned.,not-offensive
32,@user She Wants Gun Control? Figures,not-offensive
33,@user @user @user Didn't see him matching with antifa tbh,not-offensive
